timestamp,open,high,low,close,volume
2023-10-19T00:00:00Z,1.0201,1.0246,1.0165,1.0238,267584.9
2023-10-19T01:00:00Z,1.0238,1.0250,1.0006,1.0100,754239.6
2023-10-19T02:00:00Z,1.0099,1.0133,1.0056,1.0091,367245
2023-10-19T03:00:00Z,1.0094,1.0137,1.0068,1.0075,289938.4
2023-10-19T04:00:00Z,1.0074,1.0074,1.0006,1.0049,449324.3
2023-10-19T05:00:00Z,1.0050,1.0089,1.0036,1.0050,199460.7
2023-10-19T06:00:00Z,1.0050,1.0070,1.0020,1.0057,136278.7
2023-10-19T07:00:00Z,1.0056,1.0081,1.0029,1.0048,142213.2
2023-10-19T08:00:00Z,1.0048,1.0081,1.0029,1.0034,210577.3
2023-10-19T09:00:00Z,1.0035,1.0081,1.0021,1.0062,184295.3
2023-10-19T10:00:00Z,1.0061,1.0116,1.0049,1.0073,216977.8
2023-10-19T11:00:00Z,1.0075,1.0091,1.0055,1.0070,116774.6
2023-10-19T12:00:00Z,1.0070,1.0115,1.0060,1.0103,144810.7
2023-10-19T13:00:00Z,1.0103,1.0169,1.0102,1.0145,181426.2
2023-10-19T14:00:00Z,1.0146,1.0158,1.0088,1.0142,219086.7
2023-10-19T15:00:00Z,1.0143,1.0174,1.0112,1.0114,226150.8
2023-10-19T16:00:00Z,1.0113,1.0157,1.0078,1.0081,203360.6
2023-10-19T17:00:00Z,1.0082,1.0083,1.0035,1.0049,185959.3
2023-10-19T18:00:00Z,1.0049,1.0066,1.0026,1.0039,138722.1
2023-10-19T19:00:00Z,1.0037,1.0078,1.0028,1.0069,105614.3
2023-10-19T20:00:00Z,1.0069,1.0076,1.0025,1.0041,265903.5
2023-10-19T21:00:00Z,1.0041,1.0042,0.9970,0.9975,500019.4
2023-10-19T22:00:00Z,0.9974,1.0001,0.9961,0.9982,207578.6
2023-10-19T23:00:00Z,0.9980,0.9982,0.9947,0.9960,166211.7
2023-10-20T00:00:00Z,0.9959,0.9970,0.9919,0.9941,267162
2023-10-20T01:00:00Z,0.9941,1,0.9919,0.9993,150476.2
