timestamp,open,high,low,close,volume
2023-10-19T00:00:00Z,7.354,7.361,7.324,7.334,808651.55
2023-10-19T01:00:00Z,7.335,7.345,7.206,7.278,2605852.71
2023-10-19T02:00:00Z,7.277,7.296,7.243,7.279,1411453.86
2023-10-19T03:00:00Z,7.279,7.296,7.271,7.289,557632.87
2023-10-19T04:00:00Z,7.289,7.311,7.276,7.310,533486.54
2023-10-19T05:00:00Z,7.311,7.337,7.305,7.313,640904.55
2023-10-19T06:00:00Z,7.313,7.333,7.308,7.320,433404.35
2023-10-19T07:00:00Z,7.320,7.355,7.307,7.347,639754.67
2023-10-19T08:00:00Z,7.347,7.368,7.335,7.336,639855.15
2023-10-19T09:00:00Z,7.337,7.349,7.297,7.306,698431.14
2023-10-19T10:00:00Z,7.306,7.332,7.285,7.310,891293.89
2023-10-19T11:00:00Z,7.310,7.342,7.299,7.341,643487.95
2023-10-19T12:00:00Z,7.340,7.377,7.340,7.360,901786.05
2023-10-19T13:00:00Z,7.360,7.399,7.348,7.353,1030973.48
2023-10-19T14:00:00Z,7.354,7.396,7.340,7.392,839389
2023-10-19T15:00:00Z,7.392,7.433,7.347,7.358,2663373.70
2023-10-19T16:00:00Z,7.358,7.413,7.346,7.349,2042711.55
2023-10-19T17:00:00Z,7.349,7.379,7.322,7.327,936917.40
2023-10-19T18:00:00Z,7.327,7.360,7.326,7.338,655033.16
2023-10-19T19:00:00Z,7.337,7.366,7.331,7.357,443355.40
2023-10-19T20:00:00Z,7.356,7.385,7.335,7.342,736306.44
2023-10-19T21:00:00Z,7.342,7.349,7.293,7.306,682764.20
2023-10-19T22:00:00Z,7.306,7.331,7.298,7.299,481682.81
2023-10-19T23:00:00Z,7.298,7.306,7.283,7.301,549372.47
2023-10-20T00:00:00Z,7.301,7.318,7.286,7.292,749451.44
2023-10-20T01:00:00Z,7.293,7.299,7.256,7.297,983947.50
2023-10-20T02:00:00Z,7.297,7.410,7.286,7.404,2509412.14
2023-10-20T03:00:00Z,7.404,7.491,7.404,7.426,2929598.58
2023-10-20T04:00:00Z,7.426,7.481,7.416,7.466,1296940.76
2023-10-20T05:00:00Z,7.467,7.489,7.434,7.453,966538.83
2023-10-20T06:00:00Z,7.454,7.483,7.426,7.477,885987.14
2023-10-20T07:00:00Z,7.476,7.511,7.450,7.462,1405821.68
2023-10-20T08:00:00Z,7.462,7.653,7.458,7.612,3464691.32
2023-10-20T09:00:00Z,7.613,7.659,7.597,7.648,1631821.74
2023-10-20T10:00:00Z,7.649,7.710,7.629,7.640,2835680.06
2023-10-20T11:00:00Z,7.641,7.674,7.595,7.606,1481342.66
2023-10-20T12:00:00Z,7.606,7.629,7.552,7.587,1666038.27
2023-10-20T13:00:00Z,7.588,7.645,7.560,7.637,1109509.81
2023-10-20T14:00:00Z,7.638,7.662,7.601,7.622,1071708.32
2023-10-20T15:00:00Z,7.623,7.640,7.588,7.630,1022491
2023-10-20T16:00:00Z,7.630,7.659,7.614,7.638,889003.91
2023-10-20T17:00:00Z,7.637,7.687,7.598,7.652,1259381.57
2023-10-20T18:00:00Z,7.652,7.662,7.616,7.625,557445.60
2023-10-20T19:00:00Z,7.625,7.641,7.599,7.623,612320.48
2023-10-20T20:00:00Z,7.622,7.626,7.578,7.580,541516.76
2023-10-20T21:00:00Z,7.581,7.602,7.574,7.594,472107.60
2023-10-20T22:00:00Z,7.594,7.609,7.582,7.596,458646.91
2023-10-20T23:00:00Z,7.597,7.608,7.563,7.567,629762.44
2023-10-21T00:00:00Z,7.567,7.589,7.544,7.559,787414.21
2023-10-21T01:00:00Z,7.559,7.583,7.554,7.574,473517.37
2023-10-21T02:00:00Z,7.574,7.575,7.526,7.539,718718.65
2023-10-21T03:00:00Z,7.538,7.621,7.516,7.600,1240138.60
2023-10-21T04:00:00Z,7.599,7.620,7.587,7.611,592970.76
2023-10-21T05:00:00Z,7.611,7.655,7.609,7.617,1190345.51
2023-10-21T06:00:00Z,7.618,7.787,7.617,7.783,2491244.91
2023-10-21T07:00:00Z,7.783,7.845,7.732,7.834,2205239.05
2023-10-21T08:00:00Z,7.835,7.892,7.800,7.829,2216800.30
2023-10-21T09:00:00Z,7.828,7.905,7.820,7.888,1555908.34
2023-10-21T10:00:00Z,7.888,8.046,7.852,7.980,3500741.92
2023-10-21T11:00:00Z,7.979,8.096,7.851,8.054,6081989.01
2023-10-21T12:00:00Z,8.053,8.181,8.039,8.096,4703357.02
2023-10-21T13:00:00Z,8.097,8.475,8.062,8.394,9571900.49
2023-10-21T14:00:00Z,8.393,8.867,8.324,8.683,20660179.35
2023-10-21T15:00:00Z,8.683,8.976,8.589,8.948,13224747.76
2023-10-21T16:00:00Z,8.947,9.155,8.815,8.897,16776044.52
2023-10-21T17:00:00Z,8.897,9.175,8.893,9.076,8930182.49
2023-10-21T18:00:00Z,9.077,9.132,8.919,9.001,6606528.48
2023-10-21T19:00:00Z,9.001,9.009,8.840,8.895,4862270.19
2023-10-21T20:00:00Z,8.896,8.911,8.787,8.797,3215099.67
2023-10-21T21:00:00Z,8.797,8.911,8.772,8.872,2446117.70
2023-10-21T22:00:00Z,8.873,8.959,8.852,8.954,2500697.18
