timestamp,open,high,low,close,volume
2023-10-19T00:00:00Z,8.110000,8.191000,8.086000,8.167000,902035.6
2023-10-19T01:00:00Z,8.168000,8.174000,8.010000,8.073000,635408.3
2023-10-19T02:00:00Z,8.072000,8.080000,7.950000,7.971000,461736
2023-10-19T03:00:00Z,7.971000,8.085000,7.959000,8.040000,388128.2
2023-10-19T04:00:00Z,8.041000,8.064000,7.970000,8.062000,309051.1
2023-10-19T05:00:00Z,8.061000,8.142000,8.051000,8.140000,273143
2023-10-19T06:00:00Z,8.141000,8.188000,8.082000,8.178000,658239.9
2023-10-19T07:00:00Z,8.178000,8.230000,8.083000,8.187000,1052335
2023-10-19T08:00:00Z,8.187000,8.241000,8.136000,8.150000,760537.4
2023-10-19T09:00:00Z,8.150000,8.217000,8.146000,8.171000,508870.5
2023-10-19T10:00:00Z,8.170000,8.181000,8.124000,8.162000,433526
2023-10-19T11:00:00Z,8.162000,8.205000,8.142000,8.202000,333236.6
2023-10-19T12:00:00Z,8.202000,8.469000,8.194000,8.357000,3124027.9
2023-10-19T13:00:00Z,8.357000,8.445000,8.357000,8.384000,1264209.1
2023-10-19T14:00:00Z,8.385000,8.500000,8.341000,8.480000,1322842.8
2023-10-19T15:00:00Z,8.480000,8.645000,8.375000,8.457000,2357233
2023-10-19T16:00:00Z,8.457000,8.585000,8.422000,8.443000,1306498.1
2023-10-19T17:00:00Z,8.444000,8.500000,8.415000,8.484000,654483.7
2023-10-19T18:00:00Z,8.483000,8.552000,8.438000,8.486000,780660.5
2023-10-19T19:00:00Z,8.485000,8.550000,8.470000,8.524000,483871.1
2023-10-19T20:00:00Z,8.524000,8.559000,8.459000,8.485000,535553.6
2023-10-19T21:00:00Z,8.484000,8.490000,8.402000,8.454000,543441.7
2023-10-19T22:00:00Z,8.454000,8.497000,8.432000,8.437000,305374.7
2023-10-19T23:00:00Z,8.436000,8.455000,8.375000,8.447000,368745.9
2023-10-20T00:00:00Z,8.447000,8.495000,8.403000,8.481000,339613.9
2023-10-20T01:00:00Z,8.480000,8.499000,8.442000,8.493000,347190.3
2023-10-20T02:00:00Z,8.493000,8.581000,8.472000,8.552000,615496.8
2023-10-20T03:00:00Z,8.552000,8.639000,8.487000,8.597000,819237.2
2023-10-20T04:00:00Z,8.596000,8.791000,8.578000,8.708000,1230533
2023-10-20T05:00:00Z,8.708000,8.724000,8.616000,8.622000,549671.7
2023-10-20T06:00:00Z,8.623000,8.711000,8.600000,8.664000,479156
2023-10-20T07:00:00Z,8.664000,8.728000,8.645000,8.691000,454167.2
2023-10-20T08:00:00Z,8.692000,8.778000,8.667000,8.707000,759267.9
2023-10-20T09:00:00Z,8.708000,8.716000,8.631000,8.661000,500630.3
2023-10-20T10:00:00Z,8.660000,8.716000,8.627000,8.637000,733040.5
2023-10-20T11:00:00Z,8.636000,8.736000,8.636000,8.665000,417394.1
2023-10-20T12:00:00Z,8.665000,8.740000,8.665000,8.691000,684523.5
2023-10-20T13:00:00Z,8.692000,8.843000,8.686000,8.837000,858054.3
2023-10-20T14:00:00Z,8.837000,8.838000,8.595000,8.602000,1065484.1
2023-10-20T15:00:00Z,8.602000,8.621000,8.519000,8.567000,734598.3
2023-10-20T16:00:00Z,8.566000,8.576000,8.517000,8.526000,315832
2023-10-20T17:00:00Z,8.525000,8.596000,8.490000,8.574000,398907.6
2023-10-20T18:00:00Z,8.573000,8.594000,8.507000,8.532000,280965.3
2023-10-20T19:00:00Z,8.533000,8.540000,8.474000,8.516000,216825.9
2023-10-20T20:00:00Z,8.517000,8.517000,8.458000,8.462000,250209.5
2023-10-20T21:00:00Z,8.462000,8.481000,8.437000,8.480000,173029.3
2023-10-20T22:00:00Z,8.480000,8.483000,8.424000,8.471000,218929.5
2023-10-20T23:00:00Z,8.470000,8.484000,8.418000,8.425000,168369.7
2023-10-21T00:00:00Z,8.426000,8.507000,8.407000,8.507000,260100
2023-10-21T01:00:00Z,8.506000,8.586000,8.496000,8.558000,238854.8
2023-10-21T02:00:00Z,8.558000,8.575000,8.523000,8.528000,203755.9
2023-10-21T03:00:00Z,8.529000,8.606000,8.499000,8.597000,253770.2
2023-10-21T04:00:00Z,8.596000,8.663000,8.586000,8.659000,335776.1
2023-10-21T05:00:00Z,8.659000,8.693000,8.632000,8.650000,284856.6
2023-10-21T06:00:00Z,8.651000,8.687000,8.603000,8.644000,394989.8
2023-10-21T07:00:00Z,8.644000,8.699000,8.644000,8.668000,260552
2023-10-21T08:00:00Z,8.669000,8.753000,8.655000,8.742000,422312.3
2023-10-21T09:00:00Z,8.741000,8.793000,8.713000,8.768000,355489.6
2023-10-21T10:00:00Z,8.768000,8.818000,8.733000,8.779000,403465.7
2023-10-21T11:00:00Z,8.780000,8.987000,8.780000,8.963000,977766
2023-10-21T12:00:00Z,8.962000,9.089000,8.940000,8.963000,1140917.8
2023-10-21T13:00:00Z,8.963000,9.200000,8.963000,9.180000,1021231.5
2023-10-21T14:00:00Z,9.179000,9.197000,9.021000,9.046000,811161
2023-10-21T15:00:00Z,9.046000,9.076000,8.960000,9.016000,695129.3
2023-10-21T16:00:00Z,9.016000,9.018000,8.928000,8.955000,534367.5
2023-10-21T17:00:00Z,8.956000,9.090000,8.944000,9.080000,503129.5
2023-10-21T18:00:00Z,9.079000,9.118000,8.857000,8.948000,639213.5
2023-10-21T19:00:00Z,8.947000,8.954000,8.896000,8.925000,252451.6
2023-10-21T20:00:00Z,8.925000,8.932000,8.846000,8.929000,303546.9
2023-10-21T21:00:00Z,8.930000,8.966000,8.910000,8.951000,138316.4
2023-10-21T22:00:00Z,8.951000,8.963000,8.893000,8.898000,199244.1
