timestamp,open,high,low,close,volume
2023-10-19T00:00:00Z,226.70,228.14,226.03,227.89,30541.220
2023-10-19T01:00:00Z,227.88,229.34,224.69,226.51,101470.121
2023-10-19T02:00:00Z,226.51,227.98,224.81,225.44,118772.535
2023-10-19T03:00:00Z,225.43,226.09,224.84,225.96,27676.505
2023-10-19T04:00:00Z,225.95,226.88,225.27,226.81,26374.321
2023-10-19T05:00:00Z,226.83,227.80,226.67,226.92,26521.429
2023-10-19T06:00:00Z,226.92,227.40,226.56,227.35,14187.709
2023-10-19T07:00:00Z,227.34,227.59,226.35,227.08,20232.384
2023-10-19T08:00:00Z,227.05,227.42,226.46,226.50,19376.984
2023-10-19T09:00:00Z,226.50,228.73,226.07,227.72,44362.321
2023-10-19T10:00:00Z,227.72,229.35,227.43,227.82,47138.633
2023-10-19T11:00:00Z,227.84,228.68,227.53,228.29,19694.547
2023-10-19T12:00:00Z,228.30,229.65,227.86,228.31,42557.352
2023-10-19T13:00:00Z,228.32,229.82,228,228.59,43857.865
2023-10-19T14:00:00Z,228.58,230.50,228.21,230.35,49688.586
2023-10-19T15:00:00Z,230.35,231.11,229.04,229.57,74862.957
2023-10-19T16:00:00Z,229.56,235.02,229.42,230.82,165262.411
2023-10-19T17:00:00Z,230.82,231.77,228.39,228.99,53776.272
2023-10-19T18:00:00Z,228.99,229.37,228.34,228.41,27318.283
2023-10-19T19:00:00Z,228.39,229.15,227.76,228.93,26537.725
2023-10-19T20:00:00Z,228.91,230.98,228.89,229.97,34554.052
2023-10-19T21:00:00Z,229.97,230.07,226.39,226.75,45854.561
2023-10-19T22:00:00Z,226.74,227.84,226.58,227.24,25375.455
2023-10-19T23:00:00Z,227.24,227.65,226.19,227.14,29832.932
2023-10-20T00:00:00Z,227.14,227.97,226.60,226.76,33029.065
2023-10-20T01:00:00Z,226.76,227.91,225.91,227.90,23788.090
2023-10-20T02:00:00Z,227.90,232.55,227.73,231.30,95113.650
2023-10-20T03:00:00Z,231.29,239,230.42,237.27,294616.854
2023-10-20T04:00:00Z,237.26,238.82,236.35,238.24,102646.859
2023-10-20T05:00:00Z,238.25,239.39,234.13,236.30,132523.575
2023-10-20T06:00:00Z,236.30,237.25,235.50,237.13,46479.129
2023-10-20T07:00:00Z,237.12,238.88,236.84,237.14,57027.791
2023-10-20T08:00:00Z,237.15,243.95,237.11,241.83,224348.201
2023-10-20T09:00:00Z,241.82,250,241.50,247.43,303982.204
2023-10-20T10:00:00Z,247.43,248.12,244.40,244.77,143167.514
2023-10-20T11:00:00Z,244.78,245.67,243.63,243.89,70612.329
2023-10-20T12:00:00Z,243.89,244.47,238.66,239.75,178280.990
2023-10-20T13:00:00Z,239.75,240.75,238.72,240.63,68212.743
2023-10-20T14:00:00Z,240.63,243.78,238.32,243.33,124664.577
2023-10-20T15:00:00Z,243.33,244.09,241.71,242.61,62663.581
2023-10-20T16:00:00Z,242.60,243.57,240,240.10,70559.662
2023-10-20T17:00:00Z,240.12,241.94,238.38,241.83,52856.677
2023-10-20T18:00:00Z,241.83,242.12,240.80,240.91,18567.753
2023-10-20T19:00:00Z,240.91,240.91,239.48,240.82,19833.369
2023-10-20T20:00:00Z,240.83,240.83,239.68,239.81,16566.538
2023-10-20T21:00:00Z,239.77,240.75,239.68,240.32,11876.644
2023-10-20T22:00:00Z,240.32,240.95,239.54,240.67,20957.514
2023-10-20T23:00:00Z,240.66,241.33,239.93,240.25,30309.680
2023-10-21T00:00:00Z,240.27,242.66,238.68,239.33,75253.667
2023-10-21T01:00:00Z,239.32,239.54,237.93,238.62,31133.978
2023-10-21T02:00:00Z,238.62,239.93,237.51,239.72,32468.523
2023-10-21T03:00:00Z,239.72,241.42,239.21,241.28,36987.049
2023-10-21T04:00:00Z,241.29,241.30,240.54,240.75,17694.978
2023-10-21T05:00:00Z,240.76,241.68,240.51,240.93,15809.834
2023-10-21T06:00:00Z,240.93,242.45,240.36,242.33,48360.035
2023-10-21T07:00:00Z,242.33,242.88,241.72,241.87,32314.410
2023-10-21T08:00:00Z,241.87,241.96,240.54,240.75,30164.772
2023-10-21T09:00:00Z,240.75,242.44,239.95,242.08,34220.428
2023-10-21T10:00:00Z,242.07,242.42,241.07,242.15,29206.366
