run_id,strategy_id,symbol,period,cost_mode,observation_count,trade_count,net_return,buy_and_hold_return,excess_return_vs_buy_and_hold,total_cost,maximum_drawdown,status,receipt_path
H002_momentum__SOLUSDT__2024__baseline,H002_momentum,SOLUSDT,2024,baseline,8783,842,-0.7259854235100152,0.856708513142409,-1.5826939366524242,0.8420000000000001,-0.7443689055376272,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__SOLUSDT__2024__baseline/run_receipt.json
H002_momentum__SOLUSDT__2024__stress,H002_momentum,SOLUSDT,2024,stress,8783,842,-0.8820904429866878,0.856708513142409,-1.7387989561290969,1.6840000000000002,-0.8867688228244845,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__SOLUSDT__2024__stress/run_receipt.json
H002_momentum__SOLUSDT__2025__baseline,H002_momentum,SOLUSDT,2025,baseline,8759,769,-0.7918799259678564,-0.3526020567154876,-0.4392778692523688,0.769,-0.8544393495524342,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__SOLUSDT__2025__baseline/run_receipt.json
H002_momentum__SOLUSDT__2025__stress,H002_momentum,SOLUSDT,2025,stress,8759,769,-0.9036524214528739,-0.3526020567154876,-0.5510503647373863,1.538,-0.9303500883212685,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__SOLUSDT__2025__stress/run_receipt.json
H002_momentum__SOLUSDT__2026YTD__baseline,H002_momentum,SOLUSDT,2026YTD,baseline,4991,428,-0.4440963419806092,-0.4071114662405114,-0.03698487574009779,0.42800000000000005,-0.5021197992223799,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__SOLUSDT__2026YTD__baseline/run_receipt.json
H002_momentum__SOLUSDT__2026YTD__stress,H002_momentum,SOLUSDT,2026YTD,stress,4991,428,-0.6378840242150483,-0.4071114662405114,-0.23077255797453688,0.8560000000000001,-0.6735603680248162,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__SOLUSDT__2026YTD__stress/run_receipt.json
H003_moving_average__BTCUSDT__2022__baseline,H003_moving_average,BTCUSDT,2022,baseline,8759,140,-0.5580221582451766,-0.645439945404816,0.08741778715963933,0.14,-0.582194541010594,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__BTCUSDT__2022__baseline/run_receipt.json
H003_moving_average__BTCUSDT__2022__stress,H003_moving_average,BTCUSDT,2022,stress,8759,140,-0.6158218750612168,-0.645439945404816,0.0296180703435992,0.28,-0.6361551714015022,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__BTCUSDT__2022__stress/run_receipt.json
H003_moving_average__BTCUSDT__2024__baseline,H003_moving_average,BTCUSDT,2024,baseline,8783,98,1.1788466728707818,1.2030722376312029,-0.024225564760421037,0.098,-0.19675915784044262,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__BTCUSDT__2024__baseline/run_receipt.json
H003_moving_average__BTCUSDT__2024__stress,H003_moving_average,BTCUSDT,2024,stress,8783,98,0.9751541714825285,1.2030722376312029,-0.22791806614867438,0.196,-0.236564769204882,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__BTCUSDT__2024__stress/run_receipt.json
