run_id,strategy_id,symbol,window_start,window_end,observation_count,trade_count,net_return,total_cost,maximum_drawdown,status,receipt_path
H004_mean_reversion__BTCUSDT__late,H004_mean_reversion,BTCUSDT,2026-04-29T00:00:00Z,2026-07-27T23:00:00Z,2159,262,-0.13506148875524515,0.275,-0.14548034904572993,completed,experiments/runs/first_batch/H004_mean_reversion__BTCUSDT__late/run_receipt.json
H004_mean_reversion__ETHUSDT__early,H004_mean_reversion,ETHUSDT,2021-01-01T00:00:00Z,2021-03-31T23:00:00Z,2157,257,-0.35849412946966897,0.264,-0.36640265049083953,completed,experiments/runs/first_batch/H004_mean_reversion__ETHUSDT__early/run_receipt.json
H004_mean_reversion__ETHUSDT__middle,H004_mean_reversion,ETHUSDT,2023-10-15T00:00:00Z,2024-01-12T23:00:00Z,2159,236,-0.234121903438143,0.242,-0.234121903438143,completed,experiments/runs/first_batch/H004_mean_reversion__ETHUSDT__middle/run_receipt.json
H004_mean_reversion__ETHUSDT__late,H004_mean_reversion,ETHUSDT,2026-04-29T00:00:00Z,2026-07-27T23:00:00Z,2159,253,-0.22943171305641508,0.267,-0.24222795153762944,completed,experiments/runs/first_batch/H004_mean_reversion__ETHUSDT__late/run_receipt.json
H004_mean_reversion__SOLUSDT__early,H004_mean_reversion,SOLUSDT,2021-01-01T00:00:00Z,2021-03-31T23:00:00Z,2157,242,-0.45324308204888974,0.248,-0.470501229235767,completed,experiments/runs/first_batch/H004_mean_reversion__SOLUSDT__early/run_receipt.json
H004_mean_reversion__SOLUSDT__middle,H004_mean_reversion,SOLUSDT,2023-10-15T00:00:00Z,2024-01-12T23:00:00Z,2159,237,0.1500646275922739,0.239,-0.12024050544261244,completed,experiments/runs/first_batch/H004_mean_reversion__SOLUSDT__middle/run_receipt.json
H004_mean_reversion__SOLUSDT__late,H004_mean_reversion,SOLUSDT,2026-04-29T00:00:00Z,2026-07-27T23:00:00Z,2159,241,-0.19078007470495095,0.253,-0.2054342731568627,completed,experiments/runs/first_batch/H004_mean_reversion__SOLUSDT__late/run_receipt.json
H005_donchian__BTCUSDT__early,H005_donchian,BTCUSDT,2021-01-01T00:00:00Z,2021-03-31T23:00:00Z,2157,162,-0.12592066269634528,0.16199999999999998,-0.17306808145795383,completed,experiments/runs/first_batch/H005_donchian__BTCUSDT__early/run_receipt.json
H005_donchian__BTCUSDT__middle,H005_donchian,BTCUSDT,2023-10-15T00:00:00Z,2024-01-12T23:00:00Z,2159,142,-0.0059313225143392545,0.14200000000000002,-0.0902590054440835,completed,experiments/runs/first_batch/H005_donchian__BTCUSDT__middle/run_receipt.json
H005_donchian__BTCUSDT__late,H005_donchian,BTCUSDT,2026-04-29T00:00:00Z,2026-07-27T23:00:00Z,2159,124,-0.15064449565851246,0.12400000000000001,-0.1534325780245921,completed,experiments/runs/first_batch/H005_donchian__BTCUSDT__late/run_receipt.json
H005_donchian__ETHUSDT__early,H005_donchian,ETHUSDT,2021-01-01T00:00:00Z,2021-03-31T23:00:00Z,2157,176,-0.22304428322402026,0.176,-0.29068967999409234,completed,experiments/runs/first_batch/H005_donchian__ETHUSDT__early/run_receipt.json
H005_donchian__ETHUSDT__middle,H005_donchian,ETHUSDT,2023-10-15T00:00:00Z,2024-01-12T23:00:00Z,2159,162,-0.14387779583154936,0.162,-0.14824680952111446,completed,experiments/runs/first_batch/H005_donchian__ETHUSDT__middle/run_receipt.json
H005_donchian__ETHUSDT__late,H005_donchian,ETHUSDT,2026-04-29T00:00:00Z,2026-07-27T23:00:00Z,2159,96,-0.07270386065173129,0.096,-0.08327292386467378,completed,experiments/runs/first_batch/H005_donchian__ETHUSDT__late/run_receipt.json
H005_donchian__SOLUSDT__early,H005_donchian,SOLUSDT,2021-01-01T00:00:00Z,2021-03-31T23:00:00Z,2157,152,0.16304093322972202,0.152,-0.2602860839490584,completed,experiments/runs/first_batch/H005_donchian__SOLUSDT__early/run_receipt.json
H005_donchian__SOLUSDT__middle,H005_donchian,SOLUSDT,2023-10-15T00:00:00Z,2024-01-12T23:00:00Z,2159,170,-0.06658245441492805,0.16999999999999998,-0.22121267631352093,completed,experiments/runs/first_batch/H005_donchian__SOLUSDT__middle/run_receipt.json
H005_donchian__SOLUSDT__late,H005_donchian,SOLUSDT,2026-04-29T00:00:00Z,2026-07-27T23:00:00Z,2159,126,-0.11922084758845819,0.126,-0.1319742597290201,completed,experiments/runs/first_batch/H005_donchian__SOLUSDT__late/run_receipt.json
