family,symbol,params,net_10bps,price_pnl,funding_cashflow,fees,control_net,cross_asset_support,verdict
H009_premium_mean_reversion,ETHUSDT,"{""holding_hours"": 24, ""lookback"": 336, ""threshold"": 2.0}",-0.8365886653311525,-0.28541015308451956,0.21855618000000002,1.693,-0.7238196861980373,0,KILL
H010_taker_flow,ETHUSDT,"{""direction"": 1, ""lookback"": 1, ""threshold"": 0.15}",-0.9974170769015084,0.0056965978700305175,0.0126902,5.974,-0.996297332449965,0,KILL
H010_taker_flow,ETHUSDT,"{""direction"": 1, ""lookback"": 6, ""threshold"": 0.15}",-0.022302656764788598,-0.012336138713439526,-0.00013272000000000002,0.01,-0.010510839343631284,0,KILL
H010_taker_flow,ETHUSDT,"{""direction"": 1, ""lookback"": 24, ""threshold"": 0.15}",0.0,0.0,0.0,0.0,0.0,0,KILL
H010_taker_flow,ETHUSDT,"{""direction"": -1, ""lookback"": 1, ""threshold"": 0.15}",-0.9977745171241899,-0.11107301239891776,-0.0126902,5.974,-0.998474684865801,0,KILL
H010_taker_flow,ETHUSDT,"{""direction"": -1, ""lookback"": 6, ""threshold"": 0.15}",0.0024980395369091912,0.012440308715549131,0.00013272000000000002,0.01,-0.00942372582057105,0,KILL
H010_taker_flow,ETHUSDT,"{""direction"": -1, ""lookback"": 24, ""threshold"": 0.15}",0.0,0.0,0.0,0.0,0.0,0,KILL
H007_funding_extremes,SOLUSDT,"{""holding_hours"": 8, ""lookback"": 168, ""threshold"": 1.5}",-0.9549746292372181,-0.8950901852052516,0.37897230000000004,1.226,-0.9487137298036785,0,KILL
H007_funding_extremes,SOLUSDT,"{""holding_hours"": 8, ""lookback"": 168, ""threshold"": 2.0}",-0.9055351766151024,-0.8497682329864802,0.29762144000000007,0.764,-0.8258396195092733,0,KILL
H007_funding_extremes,SOLUSDT,"{""holding_hours"": 8, ""lookback"": 336, ""threshold"": 1.5}",-0.8619205864695614,-0.7618971805591577,0.42333813,0.97,-0.8447218146701647,0,KILL
H007_funding_extremes,SOLUSDT,"{""holding_hours"": 24, ""lookback"": 168, ""threshold"": 2.0}",-0.9604131816222358,-0.954449885153541,0.4492504399999999,0.5920000000000001,-0.9196850752820881,1,KILL
H008_funding_conditioned_momentum,SOLUSDT,"{""funding_lookback"": 168, ""max_abs_z"": 1.0}",-0.9989856394676225,3.2820857929026586,-0.12112772,8.224000000000002,-0.9998622885335332,0,KILL
H008_funding_conditioned_momentum,SOLUSDT,"{""funding_lookback"": 168, ""max_abs_z"": 1.5}",-0.9998391358778883,3.9299603474120914,-0.13928898,10.186,-0.9999851955425862,0,KILL
H008_funding_conditioned_momentum,SOLUSDT,"{""funding_lookback"": 336, ""max_abs_z"": 1.0}",-0.9992668325637103,3.1228057400870206,-0.11967108000000001,8.512,-0.9997685824485126,0,KILL
H009_premium_mean_reversion,SOLUSDT,"{""holding_hours"": 1, ""lookback"": 168, ""threshold"": 1.5}",-0.9998550907964793,-0.01603560222676792,0.20500568999999996,9.026,-0.9993593821125658,0,KILL
H009_premium_mean_reversion,SOLUSDT,"{""holding_hours"": 8, ""lookback"": 168, ""threshold"": 2.0}",-0.9945327860369269,-0.9512204746668061,0.42279602000000005,2.615,-0.9970077480845494,0,KILL
H009_premium_mean_reversion,SOLUSDT,"{""holding_hours"": 8, ""lookback"": 336, ""threshold"": 1.5}",-0.9980743568613747,-0.9479837987738022,0.58377422,3.881,-0.9991959434226811,0,KILL
H009_premium_mean_reversion,SOLUSDT,"{""holding_hours"": 24, ""lookback"": 336, ""threshold"": 2.0}",-0.9732471872593781,-0.9347160326154709,0.5992436,1.493,-0.9794968421238421,0,KILL
H010_taker_flow,SOLUSDT,"{""direction"": 1, ""lookback"": 1, ""threshold"": 0.15}",-0.9950776459189608,-0.038386061618844725,0.06365678999999999,5.336,-0.9956577496906786,0,KILL
H010_taker_flow,SOLUSDT,"{""direction"": 1, ""lookback"": 6, ""threshold"": 0.15}",-0.20871308467573768,-0.17179259361994192,0.050253219999999994,0.096,-0.21348606263685643,0,KILL
H010_taker_flow,SOLUSDT,"{""direction"": 1, ""lookback"": 24, ""threshold"": 0.15}",-0.15714561232139113,-0.1774276368464749,0.04806533,0.024,-0.1478378442609395,0,KILL
H010_taker_flow,SOLUSDT,"{""direction"": -1, ""lookback"": 1, ""threshold"": 0.15}",-0.996728729400478,-0.2739265274100239,-0.06365678999999999,5.336,-0.9964193915860207,0,KILL
H010_taker_flow,SOLUSDT,"{""direction"": -1, ""lookback"": 6, ""threshold"": 0.15}",-0.03710817102513919,0.114093055193494,-0.050253219999999994,0.096,-0.027102981454400044,0,KILL
H010_taker_flow,SOLUSDT,"{""direction"": -1, ""lookback"": 24, ""threshold"": 0.15}",0.05187185469786715,0.1302190359314781,-0.04806533,0.024,0.042553923310939545,0,KILL
