family,symbol,params,net_10bps,max_drawdown,sharpe,cross_asset_interesting_count,verdict
H005_donchian,ETHUSDT,"{""lookback"": 168, ""mode"": ""long_flat""}",-0.8604893472132786,-0.8626320504474687,-2.379909868307012,0,KILLED_NEGATIVE_BASE_COST
H005_donchian,ETHUSDT,"{""lookback"": 72, ""mode"": ""long_short""}",-0.9975044930581897,-0.9976767649739975,-3.451466954197852,0,KILLED_NEGATIVE_BASE_COST
H002_momentum,SOLUSDT,"{""lookback"": 24, ""mode"": ""long_flat""}",-0.9725506202024461,-0.9960967288940661,-0.3975675512791828,0,KILLED_NEGATIVE_BASE_COST
H002_momentum,SOLUSDT,"{""lookback"": 72, ""mode"": ""long_flat""}",-0.3952411403748656,-0.9109940809214366,0.29930485962855585,0,KILLED_NEGATIVE_BASE_COST
H002_momentum,SOLUSDT,"{""lookback"": 168, ""mode"": ""long_flat""}",16.543118836540216,-0.8280300659350845,1.0361613624579054,0,KILLED_LONG_BETA
H002_momentum,SOLUSDT,"{""lookback"": 72, ""mode"": ""long_short""}",-0.9996718187456848,-0.9997496108892477,-0.6804287670028667,0,KILLED_NEGATIVE_BASE_COST
H003_moving_average,SOLUSDT,"{""fast"": 12, ""mode"": ""long_flat"", ""slow"": 48}",5.882725516306416,-0.8514910215610856,0.8310354212503274,0,KILLED_LONG_BETA
H003_moving_average,SOLUSDT,"{""fast"": 24, ""mode"": ""long_flat"", ""slow"": 96}",7.837664881017398,-0.7719426856210629,0.8860752981255205,0,KILLED_LONG_BETA
H003_moving_average,SOLUSDT,"{""fast"": 48, ""mode"": ""long_flat"", ""slow"": 192}",78.46266720420203,-0.6916573877676953,1.376109271985051,1,KILLED_SINGLE_ASSET
H003_moving_average,SOLUSDT,"{""fast"": 24, ""mode"": ""long_short"", ""slow"": 96}",-0.9315608318447832,-0.9665621796178357,0.15226608412899512,0,KILLED_NEGATIVE_BASE_COST
H004_mean_reversion,SOLUSDT,"{""lookback"": 24, ""mode"": ""long_short"", ""threshold"": 1.5}",-0.999982616501491,-0.9999827361053448,-3.79821467514142,0,KILLED_NEGATIVE_BASE_COST
H004_mean_reversion,SOLUSDT,"{""lookback"": 48, ""mode"": ""long_short"", ""threshold"": 2.0}",-0.9936990013572072,-0.9937928173756083,-2.3006063495109363,0,KILLED_NEGATIVE_BASE_COST
H004_mean_reversion,SOLUSDT,"{""lookback"": 72, ""mode"": ""long_short"", ""threshold"": 2.0}",-0.9815666944598582,-0.9852944808929054,-1.765587916571918,0,KILLED_NEGATIVE_BASE_COST
H005_donchian,SOLUSDT,"{""lookback"": 24, ""mode"": ""long_flat""}",-0.9956088183212164,-0.9969874521119447,-2.438034893327325,0,KILLED_NEGATIVE_BASE_COST
H005_donchian,SOLUSDT,"{""lookback"": 72, ""mode"": ""long_flat""}",-0.9270021848713477,-0.9428674383694858,-1.4597023390988826,0,KILLED_NEGATIVE_BASE_COST
H005_donchian,SOLUSDT,"{""lookback"": 168, ""mode"": ""long_flat""}",-0.8008831654154751,-0.852572942145532,-1.0146037558413876,0,KILLED_NEGATIVE_BASE_COST
H005_donchian,SOLUSDT,"{""lookback"": 72, ""mode"": ""long_short""}",-0.9989942006486712,-0.9990798255743335,-2.5322847484188733,0,KILLED_NEGATIVE_BASE_COST
